title,field_primary_speciality,field_image,field_about_doctor,field_competencies,field_professional_experience,field_education_training,field_conferences_seminars,field_awards_distinctions,field_publications,field_memberships,field_original_url
Dr. Gâtiță Codruț Emilian,Medic specialist Anestezie și Terapie Intesivă,dr-gatita-codrut-emilian.jpg,,<p>Anestezie și Terapie Intesivă</p>,<p>2014- prezent: Medic specialist Anestezie și Terapie Intesivă – NORD Muntenia Hospital</p>,"<p>2008 -2014: Doctorand Chirurgie-Generală-Universitatea de Medicină și Farmacie Craiova;</p>
<p>2004-2006:  Psihopedagogie medicală</p>
<p>1999-2005: Universitatea de Medicină și Farmacie Craiova – Medicină Generală</p>
<p> </p>
<h4></h4>",,,,,https://nord.ro/medici/dr-gatita-codrut-emilian/
Fizioterapeut Neacșu Petre Alin,Fizioterapeut,fizioterapeut-neacsu-petre-alin.jpg,,"<p>Servicii oferite în cadrul cabinetului de fizioterapie :</p>
<p>valuare funcțională</p>
<p>kinetoterapie (gimnastică medicală)</p>
<p>fizioterapie (laserterapie, terapie cu ultrasunete, curenti interferențiali, curenti diadinamici, curenti tens, electrostimulare)</p>
<p>masaj terapeutic</p>
<p>drenaj limfatic manual</p>
<p>bandajare kinesiologică</p>
<p>ventuzoterapie</p>
<p>bandajare limfatică</p>
<p>terapia trigger points</p>
<p>terapia Fasciq</p>
<p>terapie manuală ortopedică</p>
<p>manipulări vertebrale</p>
<p>reeducare posturală</p>
<p>gimnastică respiratorie</p>
<p>drenaj limfatic mecanic</p>",<p>2014 – prezent fizioterapeut NORD Muntenia Hospital</p>,,"<p>participare online, congresul step by step spre excelență, ediția III, din data de 9-11 Februarie 2024</p>
<p>participare online, festivalul internațional de fizioterapie, decembrie 2023</p>
<p>participare online, conferința națională step by step S.O.S Postură, 16 – 17 septembrie 2023</p>
<p>participare online, festivalul internațional de fizioterapie 10-11 decembrie 2022</p>
<p>diplomă de participare Conferința Internațională de Fizioterapie București, 25 noiembrie 2017</p>
<p>13.03 2021 – 23.05 2021 stagiu de perfecționare drenaj limfatic manual, Brașov, cu titlul terapeut drenaj limfatic manual, oferit de Physio Sport Therapy Academy</p>
<p>7/9 mai 2021, diplomă participare modul 1 de studii terapie manuală ortopedică în abordarea zonei cervicale raționament clinic, evaluare și tratament oferit de orthopedic manual therapy Romania</p>
<p>18.04 2021 stagiu de perfecționare Terapia Fasciq, București, cu titlul specialist Fasciq, oferit de Physio Sport Therapy Academy</p>
<p>10/11 aprilie 2021, stagiu de perfecționare Terapia Trigger Points București, cu titlul, specialist trigger points, oferit de Physio Sport Therapy Academy</p>
<p>27/28 martie 2021 stagiu perfecționare curs radiologie – imagistică coloană vertebrală modul I, oferit de Osteo Safe Care SRL România</p>
<p>noiembrie 2016, București – stagiu de perfecționare în bandajarea neuromusculară (medical taping concept), cu titlul de specialist medical taping, oferit de Physio Sport Therapy Academy</p>",,,,https://nord.ro/medici/dr-neacsu-petre-alin/
Dr. Chiriță Maria-magdalena,Medic specialist Endocrinologie,dr-chirita-maria-magdalena.jpg,,"<p>Endocrinologie</p>
<p>Ecografie sân</p>
<p>Ecografie tiroidă</p>","<p>2017- prezent: Medic specialist Endocrinologie – NORD Muntenia Hospital</p>
<p>2011 – 2017: Medic specialist Endocrinologie, Clinică privată</p>
<p>2011 – 2016: Medic specialist Endocrinologie, Clinică privată</p>
<p>2006 – 2010: Rezident în endocrinologie și diabet zaharat, Spitalul Clinic Universitar Elias departamentul de Endocrinologie și Diabet, București</p>",,,,,,https://nord.ro/medici/dr-chirita-maria-magdalena/
Dr. Azamfire Bogdan,Medic Primar Chirurgie generală,dr-azamfire-bogdan.jpeg,,"<p>Chirurgie generală</p>
<p>Consultații în ambulatorul de specialitate</p>
<p>Senologie</p>
<p>Intervenții chirurgicale în spitalizare de zi și spitalizare continuă</p>",<p>2017- prezent: Medic primar Chirurgie generală – NORD Muntenia Hospital</p>,,,,,,https://nord.ro/medici/dr-azamfire-bogdan/
Dr. Găitan Andrei,Medic Specialist ORL,dr-gaitan-andrei.jpg,,"<p>Consultații de specialitate și tratament</p>
<p>Chirurgie plastică reconstructivă la nivelul feței și gâtului<br/>
Chirurgie endonazală, externă și endoscopică<br/>
Chirurgie nazofaringiană<br/>
Chirurgia cavității orale și a orofaringelui<br/>
Chirurgie laringiană<br/>
Chirurgie cervicală<br/>
Chirurgia glandelor salivare<br/>
Chirurgia urechii<br/>
Ligaturi vasculare</p>","<p>2022 – prezent NORD Muntenia Hospital Pitești</p>
<p>2022 – prezent: clinică privată București</p>
<p>2017 – 2022 Medic specialist în cadrul secției ORL a Spitalului Județean de Urgență Pitești</p>
<p>2019 – 2022 Clinică privată Pitești</p>
<p>2017 – 2019 Clinică privată Câmpulung Muscel</p>","<p>2017 Medic specialist ORL<br/>
2013 – 2016 Rezidențiat ORL Spital Clinic Colțea București<br/>
2006 – 2011 Universitatea de Medicină și Farmacie „Carol Davila” din București,</p>","<p>2018 Al 4-lea Congres al Societății Române de Rinologie, 6-9 septembrie 2017, Sinaia, Patologia supurativă în sfera ORL, Craiova<br/>
2019 Curs hands-on surgery, Endoscopic Surgery of the Paranasal Sinuses and Skull Base, Slovenia-Maribor<br/>
Stagii – Oncologie ORL, Chirurgie generală, Urgențe în ORL – Spital Clinic Colțea<br/>
Audiologie, Foniatrie, Endoscopie ORL – IFACF- ORL<br/>
Curs Microchirurgie laringiană Laser CO2 IFACF- ORL Prof. Dr. Dorin Hociota București<br/>
Chirurgie OMF, Spital Clinic de Chirurgie OMF „Prof. Dr. Dan Theodorescu” București<br/>
Stagiu Traheo-Bronhoscopie, Institut de Pneumologie „Prof. Dr. Marius Nasta” București<br/>
Stagiu Pediatrie ORL Spital „Marie Curie” București<br/>
2nd Middle Ear Workshop, Important aspects and pitfalls in clinical and surgical practice, Spital Clinic Colțea București<br/>
The 13th Danube International Otorhinolaryngological Congress and ENT National Congress, Cluj-Napoca</p>",,,,https://nord.ro/medici/dr-gaitan-andrei/
Dr. Mihai Marian Alexandru,Medic specialist Reumatologie,dr-mihai-marian-alexandru.jpeg,,<p>Reumatologie</p>,"<p>2023-prezent Medic specialist Reumatologie -Nord Muntenia Hospital</p>
<p>2020-2021: Medic și administrator medical – Clinică privată</p>
<p>2021-Prezent: Medic Reumatolog – Clinică privată</p>
<p>2016-2019: Medic, Asociația Română Anti-Sida (ARAS)</p>","<p>2016-2020: Medic rezident reumatolog, Spitalul clinic „Sf Maria”</p>
<p>2008-2015: UMF Carol Davila – Medicină Generală, București</p>","<p>Cursuri și workshop-uri (Ecografie musculoscheletală, Densitometrie medicală, Infiltrații intrarticulare, etc.)</p>
<p>Participare pasivă la congrese și conferințe (Reumatologie, Diabet Nutriție și Boli Metabolice, Chirurgie, etc.)</p>",,,"<p>2008 – 2014: Membru SSMB</p>
<p>Membru Cercul de Microbiologie</p>",https://nord.ro/medici/dr-mihai-marian-alexandru/
Dr. Dragnea Camelia,Medic primar Endocrinologie,dr-dragnea-camelia.jpg,,<p>Endocrinologie</p>,<p>2017- prezent: Medic primar Endocrinologie – NORD Muntenia Hospital</p>,,,,,,https://nord.ro/medici/dr-dragnea-camelia/
Dr. Petrescu Bogdan,Medic specialist ORL,dr-petrescu-bogdan.jpeg,,"<p>Chirurgia endoscopică rinosinusală și a tulburărilor obstructive respiratorii</p>
<p>Experiență în chirurgia patologiei infecțioase și tumorale benigne și maligne cervicale</p>
<p>Experiență în intervenții microlaringoscopice</p>",<p>2019-prezent Medic Specialist ORL – Nord Muntenia Hospital</p>,"<p>2015- 2019 – medic rezident ORL in cadrul IFACF-ORL „Prof Dr Dorin Hociota”, Bucuresti</p>
<p>2014 – 2019 Universitatii de Medicină și Farmacie „Carol Davila”- București</p>
<p>2018 – Centre Hospitalier Universitaire Carémeau, Nîmes, Franta:</p>
<p>aprofundarea patologiei oncologice cervico-faciale</p>
<p>aprofundarea traumatismelor cervico-faciale</p>
<p>aprofundarea patologiei pediatrice ORL</p>
<p>2008- 2014 Universitatea de medicină și farmacie „Carol Davila”</p>",,,"<p>Surgical treatment of a pharingeal hemangioma – case report. Chiţac M, Drăgulescu C, Petrescu B, Vasilca M,<br/>
Ciucă A, Sandu C, Stăncescu F, Dumitrescu I, Călărașu R. ORL.ro, volume 39, May 2018</p>
<p>Cholesteatomatous chronic suppurative otomastoiditis with multiple complications – case report. Drăgulescu C,<br/>
Chiţac M, Weisman A, Ancuţa C, Sandu C, Deaconu D, Petrescu B, ORL.ro, volume 37, November 2017</p>
<p>Extramedullary plasmacytoma of the larynx with anterior neck extension – Case Report. Chiţac M,<br/>
Drăgulescu C, Weisman A, Petrescu B, Ene M, Sandu C, Streleţchi R, presented during Salzburg Weill Cornell<br/>
Seminar in Otolaryngology, AAF/OMI, American Austrian Foundation / Open Medical Institute, Salzburg, Austria,<br/>
May 2016</p>",,https://nord.ro/medici/dr-petrescu-bogdan/
Dr. Pahonțu Marius,Medic specialist Obstetrică - Ginecologie,dr-pahontu-marius.jpeg,,"<p>Consultații ginecologie</p>
<p>Ecografie transvaginală</p>
<p>Ecografie obstetrică-ginecologie</p>
<p>Tratamente chirurgicale ginecologie</p>",<p>2015 – prezent: Medic Specialist Obstetrică- Ginecologie –  Nord Muntenia Hospital</p>,"<p>2015: Medic specialist obstetrică-ginecologie</p>
<p>2010-2015: Medic rezident obstetrică-ginecologie – Spitalul Clinic Universitar de Urgență – București</p>
<p>2004-2010: Medic stagiar la Spitalul Clinic de Urgență “Sf. Pantelimon” – București</p>
<p>2004: Absolvent al Universității de Medicină și Farmacie “Carol Davila” – București</p>",,,,,https://nord.ro/medici/dr-pahontu-marius/
Dr. Nedelcu Luminița,Medic specialist nefrologie,dr-nedelcu-luminita.jpg,,<p>Consultații de nefrologie</p>,"<p>2019 – prezent: Medic specialist nefrologie Nord Muntenia Hospital</p>
<p>2016- prezent : Medic specialist nefrologie în cadrul Spitalului Judetean de Urgenta Pitesti</p>","<p>2012- 2015: Medic rezident nefrologie în cadrul Spitalului Clinic Județean de Urgență Timișoara și a Institutului Clinic Fundeni</p>
<p>2005-2011  Medicina Generală în cadrul Universității de Medicină și Farmacie  “ Victor Babeș ” Timișoara</p>",,,,,https://nord.ro/medici/dr-nedelcu-luminita/
Dr. Matei Simona,Medic Primar Neurologie,dr-matei-simona.jpg,,"<p>Neurologie</p>
<p>Electroencefalografie (EEG)</p>
<p>Ultrasonografie Doppler vase cervicocerebrale</p>",<p>2015 – prezent: Medic Primar Neurologie – NORD Muntenia Hospital</p>,"<p>2012: Medic primar neurologie</p>
<p>2007: Medic specialist neurologie</p>
<p>2002 – 2007: Medic rezident neurologie- Spitalul Universitar de Urgență – București</p>
<p>1995 – 2001: Universitatea de Medicină și Farmacie “Carol Davila”- București</p>
<p> </p>",,,,,https://nord.ro/medici/dr-matei-simona/
Dr. Popescu Radu,Medic primar Chirurgie Generală,dr-popescu-radu.jpeg,,<p>Chirurgie generală</p>,"<p>2020 – prezent: Medic Primar Chirurgie generală – NORD Muntenia Hospital</p>
<p>2011-prezent: Medic primar chirurg, Spitalul Judeţean de Urgenţă Vâlcea</p>
<p>2006-2011: Medic specialist chirurg, Spitalul Judeţean de Urgenţă Vâlcea Râmnicu Vâlcea</p>
<p>2000-2006: Medic rezident chirurg, UMF Iuliu Haţieganu, Cluj-Napoca, Spitalul Universitar</p>
<p>1998-1999: Medic stagiar, Spitalul Clinic Judeţean de Urgenţă Cluj Cluj-Napoca</p>","<p>2015: Doctor în Medicină UMF Carol Davila, București</p>
<p>2011: Medic primar UMF Craiova, prof. dr. Georgescu I</p>
<p>2006: Medic specialist UMF Iuliu Haţieganu, Cluj-Napoca, prof. dr. Iancu C.</p>
<p>2000-2005: Medic Rezident UMF Iuliu Haţieganu, prof. Cazacu M.</p>
<p>1991-1997: UMF Iuliu Haţieganu, Cluj-Napoca</p>
<p> </p>",,,,,https://nord.ro/medici/dr-popescu-radu/
Dr. Matei Alexandra Gabriela,Medic specialist Endocrinologie,dr-matei-alexandra-gabriela.jpeg,,"<p>Consultații Endocrinologice- patologie tiroidiană, paratiroide, hipofizară, infertilitate, tulburări menstruale, menopauză, osteoporoză, obezitate</p>
<p>Ecografie</p>
<p>Puncții tiroidiene</p>","<p>2023-Prezent: Medic specialist Endocrinologie, Nord Muntenia Hospital</p>
<p>2023-prezent: Medic specialist Endocrinologie, Clinici private București</p>","<p>2022- prezent: Medic specialist Endocrinologie</p>
<p>2018-2022: Medic rezident endocrinologie Institutul Național de Endocrinologie CI Parhon București</p>
<p>2011-2017 Doctor Medic – Universitatea Medicină și farmacie „Carol Davila”</p>","<p>2022: Papillary thyroid carcinoma in a 15-years old patient – Al 9-lea Congres Național de Diabet, Nutriție și Endocrinologie Pediatrică Timișoara, Romania</p>
<p>2022: Predicting the risk of developing cerebrospinal fluid fistula in patients with prolactinoma. The 25th European Congress of Endocrinology Istanbul, Turkey</p>
<p>2022: A rare association of thyroid medullary carcinoma with paraneoplastic Cushing syndrome: effects of multidisciplinary approach.  The 25th European Congress of Endocrinology Istanbul, Turkey</p>
<p>2021: Evolution of adrenal function after surgery in central or peripheral Cushing.  The 23rd European Congress of Endocrinology, Prague, 2011-Czech Republic</p>
<p>2020: Early diagnosis of acromegaly in chronic thyroiditis-case report. The 22nd European Congress of Endocrinology</p>
<p>2020: Real-time continuous glucose monitoring impact on the metabolic control over the summer in children with type 1 diabetes. The 22nd European Congress of Endocrinology</p>
<p>2020: Hipertiroidismul clinic în patologia vârstnicului. Congresul National de Medicina Interna</p>
<p>2019: Late relapse of Graves’ ophthalmopathy after total thyroidectomy in a patient with Graves’ disease. The 27th National Congress of Endocrinology</p>
<p>2018: Post-traumatic hypopituitarism – a case report. The 20th European Congress of Endocrinology, Barcelona, Spain</p>",,,,https://nord.ro/medici/dr-matei-alexandra-2/
Dr. Nedelea Cristiana,Medic primar Pneumofiziologie,dr-nedelea-cristiana.jpg,,"<p>Consultatii de specialitate și spirometrie</p>
<p>Tratarea pneumoniilor, pneumopatiilor, bronhopneumopatiilor cronice obstructive (BPOC)</p>
<p>Homeopatie</p>","<p>2011- prezent: Medic Primar Pneumofiziologie Nord Muntenia Hospital</p>
<p>2010-2012: Spitalul Județean de Urgență Pitești – medic primar pneumoftiziolog – Ambulator Pneumoftiziologie</p>
<p>1993-2010: Medic pneumolog Spitalul PNF Pitești</p>
<p>1990-1993: Spitalul Pneumoftiziologie Valea Iașului – medic secundar pneumoftiziolog</p>
<p>1988-1990: Spitalul Ștefănești – medic medicină generală – profil pediatrie</p>
<p>1983-1988: Spitalul Orășenesc Câmpulung, Jud. Argeș – medic medicină generală – profil pediatrie</p>","<p>2000: Medic primar pneumologie</p>
<p>1990: Medic specialist pneumologie</p>
<p>1977-1983 : Institutul de Medicină și Farmacie ” Carol Davila ” București , Facultatea de Pediatrie</p>","<p>2012: Ultimul congres al Societății Pneumoftiziologie Pediatrică UMF – Craiova „Actualități în Pneumologia Pediatrică”</p>
<p>2012: Al 22-lea Congres al Societății Române PNF „Plamanul – ținta sau cauza”, Brașov</p>
<p>2007-2009: Participare la Congresul Societății Pneumoftiziologie Pediatrică Cluj-Napoca</p>
<p>Participare la numeroase congrese naționale ale Societății Române de Pneumoftiziologie cu participări internaționale</p>
<p>Cursuri de perfecționare UMF – Cluj-Napoca</p>",,,,https://nord.ro/medici/dr-nedelea-cristina/
Dr. Stoica Paula,Medic Primar ORL,dr-stoica-paula.jpg,,<p>ORL</p>,<p>2011 – prezent: Medic Primar ORL – Nord Muntenia Hospital</p>,,,,,,https://nord.ro/medici/dr-stoica-paula/
